Company Name,Website,Contact Email,Phone Number
Listing of IT Companies in Banglore,https://abhayj.tripod.com/BangList_A_H.HTM,aagami@vsnl.com,N/A
[PDF] List of Major Indian Software and Services Companies,https://cs.kskvku.ac.in/content/List_of_Major_Software_Companies_in_India.pdf,perisol@vsnl.com,N/A
[PDF] ListofStartups( As on 03/11/2023) - Startup India,https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/ListofStartups_03112023.pdf,D@u.yVP,N/A
Top IT Companies in Delhi – 2025 - Pyramidion Solutions,https://www.pyramidions.com/blogs/it-companies-in-delhi/,N/A,+91 8448344355
"List of Indian IT companies in Thailand - Embassy of India,Bangkok",https://www.embassyofindiabangkok.gov.in/eoibk_pages/MjEz,com.bangkok@mea.gov.in,N/A
Top 10 Call Center Companies in India - SquadStack,https://www.squadstack.com/call-center,sales@squadstack.com,N/A
India's Top 10 IT Services Companies - BuzzyBrains,https://www.buzzybrains.com/blog/indias-top-it-services-companies/,contact@buzzybrains.com,+91 9699491689
"Tech India - Employees, Business, Industry & CEO | EasyLeadz",https://www.easyleadz.com/company/tech-india,xxxx@techindiasolutions.in,N/A
IT Company India | LinkedIn,https://in.linkedin.com/company/itcompanyindia,sales@firstpointit.com,+91 9871688800
Guide on Opening a Tech Company in India,https://indiacompanyformation.com/guide-on-opening-a-tech-company-in-india/,office@indiacompanyformation.com,N/A
About Us - Invest India,https://www.investindia.gov.in/about,contact@investindia.org.in,N/A
"Cognizant: Intuition engineered—human insight, superhuman speed",https://www.cognizant.com/us/en,inquiry@cognizant.com,N/A
Top Software Development Company in India,https://evontech.com/,contact@email.com,+91 8266041801
Top 50 IT Services Companies in India | Reviews April | March 2025,https://selectedfirms.co/companies/it-services-companies/india,info@selectedfirms.co,N/A
Contact Us to Get a FREE Quote | Share your Project Requirement,https://theonetechnologies.com/contact,info@theonetechnologies.com,+91 7940327195
Wordsys Technology: Best Software Product Development ...,https://www.wordsystech.com/,info@wordsystech.com,+91 9748920014
Danish Companies in India,https://www.indianembassycopenhagen.gov.in/page/companies-in-india/,nazir@albatros-india.com,9949339054
"Top 10 largest IT companies in India by market cap, as of 2024",https://indianexpress.com/article/trending/top-10-listing/top-10-largest-it-companies-in-india-by-market-cap-as-of-2024-9485908/,cherry.gupta@indianexpress.com,N/A
Top 30 IT Companies in India in 2025 - APPWRK,https://appwrk.com/insights/top-companies/top-it-companies-in-india,contact@appwrk.com,N/A
Bain India offices | Bain & Company,https://www.bain.com/offices/india/,BainIndiaNews@Bain.com,N/A
"Hire IT Support Engineer, Outsource IT Tech Support Services to India",https://www.virtualemployee.com/services/it-support,sales@virtualemployee.com,7722223505
Thinkitive: Software Development Company,https://www.thinkitive.com/,hello@thinkitive.com,N/A
Digital Solutions Company in India - IT Services Companies in India ...,https://www.harriersys.com/,info@harriersys.com,7103281212
Re(AI)magining the World: AI & Digital Engineering with Persistent,https://www.persistent.com/,info@persistent.com,N/A
30 Top Software Development Companies in India (2025 Reviews),https://theninehertz.com/blog/top-companies/software-development-companies-in-india,N/A,+91-9079882533
Top 10 Largest IT Companies in India - Jagran Josh,https://www.jagranjosh.com/general-knowledge/top-10-largest-it-companies-in-india-1732707313-1,compliant_gro@jagrannewmedia.com,N/A
IT Company India - Overview and Employees Official Email & Contacts,https://www.salezshark.com/company/it-company-india,name@firstpointit.com,N/A
Top 10 IT Companies in India by Market Capitalization - NSE,https://propacity.com/blogs/top-10-it-companies-in-india/,Hello@propacity.in,+91-8882222230
"iTech India: AI Development, Digital Marketing, EDI, and App ...",https://itechindia.co/,sales@itechindia.co,N/A
MET Technologies | One of The Best BPO and KPO Companies in ...,https://www.met-technologies.com/,info@met-technologies.com,N/A
Top Chemical Manufacturing Companies in India | Zenfold,https://www.zenfoldst.com/,info@zenfoldst.com,+919876543210
Top 20 IT Companies in India - Professional IT Solution Provider,https://devantitsolutions.com/blog-details/top-20-it-companies-in-india-2024,info@devantitsolutions.com,N/A
Top Software Development Companies in India - TatvaSoft Blog,https://www.tatvasoft.com/outsourcing/2006/01/top-software-companies-india-and-it.html,N/A,7806629098
SMS group in India,https://www.sms-group.com/company/locations/our-global-setup/sms-group-in-india,N/A,6592324831
Investee Companies - Info Edge (India) Limited,https://www.infoedge.in/Businesses/InvesteeCompanies,investors@naukri.com,N/A
J.P. Morgan India | About us,https://www.jpmorgan.com/IN/en/about-us,gem_mum_mmo@jpmchase.com,N/A
Top Software Companies in Mumbai - Softlabs Group,https://www.softlabsgroup.com/blogs/software-companies-in-mumbai/,business@softlabsgroup.com,+91 9167172259
IT companies in India which we carefully have selected for you.,https://yoursoftwaresupplier.com/knowledge-center/it-companies-in-india,info@yoursoftwaresupplier.com,N/A
Best IT Training & Placement Company in India - TOPS Technologies,https://www.tops-int.com/top-it-companies,N/A,7622011173
Kerala Startup Mission: Home,https://startupmission.kerala.gov.in/,info@startupmission.in,8047180470
Why are companies willing to build tech teams in India? - HR Blog,https://blog.greenthumbs.in/tech-teams-in-india.php,Contact@greenthumbs.in,8822353535
Contact us - TD Synnex,https://www.techdata.com/in/en/about-us/contact-us.html,marcom.india@techdata.com,N/A
Top 10 Tech Companies to Work for in India in 2025 - Nucamp,https://www.nucamp.co/blog/coding-bootcamp-india-ind-top-10-tech-companies-to-work-for-in-india-in-2025,info@nucamp.co,N/A
Formerly iGATE Global Solutions Limited | Capgemini India,https://www.capgemini.com/in-en/about-us/who-we-are/capgemini-technology-services-india-limited-formerly-known-as-igate-global-solutions-limited/,cgcompanysecretary.in@capgemini.com,N/A
Contact Information for India - Intertek,https://www.intertek.com/contact/asiapacific/india/,N/A,+91 8688897111
Top IT Companies in India: Powerhouses of Indian Tech,https://www.tvisha.com/blog/it-companies-in-india,N/A,+91-9121642626
Larsen & Toubro: L&T India,https://www.larsentoubro.com/,infodesk@larsentoubro.com,N/A
Top Deep Tech Shares in India 2024 - Equitymaster,https://www.equitymaster.com/detail.asp?date=07/06/2024&story=4&title=Top-Deep-Tech-Shares-in-India-2024-Deep-Tech-Companies-to-Add-to-Your-Watchlist,info@equitymaster.com,+91-9136015013
Top IT Companies in Vadodara - Maskoid Technologies,https://maskoid.com/it-companies/top-it-companies-in-vadodara/,N/A,+91 9898292466
